,0
1320,GTH
1321,GTHX
1322,GTIM
1323,GTPAU
1324,GTPB
1325,GTPBU
1326,GTX
1327,GTYH
1328,GURE
1329,GUT
1330,GVP
1331,GWAC
1332,GWGH
1333,GWRS
1334,GXGX
1335,GXGXU
1336,GXII
1337,GXIIU
1338,GYLD
1339,GYRO
1340,HAACU
1341,HAFC
1342,HALL
1343,HAPP
1344,HARP
1345,HBAN
1346,HBI
1347,HBM
1348,HBMD
1349,HBNC
1350,HBP
1351,HBT
1352,HCAQ
1353,HCAR
1354,HCARU
1355,HCC
1356,HCCC
1357,HCCCU
1358,HCDI
1359,HCHC
1360,HCIC
1361,HCICU
1362,HCII
1363,HCKT
1364,HCNEU
1365,HDLB
1366,HDSN
1367,HEGD
1368,HEPA
1369,HEPS
1370,HEQ
1371,HERA
1372,HERAU
1373,HEWW
1374,HFBL
1375,HFFG
1376,HFRO
1377,HGBL
1378,HGLB
1379,HGSH
1380,HHLA
1381,HHLA.U
1382,HIBS
1383,HIE
1384,HIGA
1385,HIGA.U
1386,HIHO
1387,HIII
1388,HIL
1389,HIMX
1390,HIO
1391,HIPS
1392,HITI
1393,HIX
1394,HJLI
1395,HKIB
1396,HLAH
1397,HLIT
1398,HLX
1399,HLXA
1400,HMCO
1401,HMG
1402,HMHC
1403,HMLP
1404,HMPT
1405,HMTV
1406,HMY
1407,HNNA
1408,HNST
1409,HNW
1410,HOFV
1411,HOLI
1412,HONE
1413,HOOK
1414,HOPE
1415,HOTH
1416,HOVNP
1417,HPE
1418,HPK
1419,HPS
1420,HQI
1421,HRTX
1422,HRZN
1423,HSAQ
1424,HSC
1425,HSDT
1426,HSON
1427,HST
1428,HSTO
1429,HT
1430,HTBK
1431,HTBX
1432,HTGM
1433,HUDI
1434,HUGS
1435,HYB
1436,HYI
1437,HYLN
1438,HYMC
1439,HYRE
1440,HYT
1441,HYW
1442,HZAC
1443,HZN
1444,HZON
1445,IACB
1446,IACB.U
1447,IACC
1448,IAE
1449,IAF
1450,IAG
1451,IAS
1452,IBCP
1453,IBIO
1454,IBN
1455,IBRX
1456,ICAD
1457,ICCC
1458,ICD
1459,ICL
1460,ICLK
1461,ICMB
1462,ICOL
1463,ICON
1464,ICPT
1465,ID
1466,IDE
1467,IDEX
1468,IDIV
1469,IDN
1470,IDRA
1471,IDX
1472,IDYA
1473,IEA
1474,IEC
1475,IEZ
1476,IFBD
1477,IFMK
1478,IFRX
1479,IGA
1480,IGAC
1481,IGACU
1482,IGC
1483,IGD
1484,IGIC
1485,IGLD
1486,IGR
1487,IH
1488,IHD
1489,IHIT
1490,IHT
1491,IHTA
1492,IIAC
1493,III
1494,IIIIU
1495,IIM
1496,IIN
1497,IKNA
1498,IKNX
1499,IKT
1500,IMAC
1501,IMAX
1502,IMBI
1503,IMCC
1504,IMGN
1505,IMH
1506,IMLP
1507,IMMP
1508,IMMR
1509,IMNM
1510,IMPL
1511,IMPX
1512,IMRA
1513,IMTE
1514,IMTX
1515,IMUX
1516,IMV
1517,IMVT
1518,IMXI
1519,INDI
1520,INDO
1521,INFI
1522,INFN
1523,INFU
1524,ING
1525,INM
1526,INMB
1527,INN
1528,INNV
1529,INO
1530,INOD
1531,INPX
1532,INSE
1533,INSG
1534,INSW
